City,Latitude,Longitude,WOEID
Albuquerque,35.0841034,-106.6509851,2352824
Arlington,32.701939,-97.105624826688,2388929
Atlanta,33.7490987,-84.3901849,2357024
Austin,30.2711286,-97.7436995,2357536
Baltimore,39.2908816,-76.610759,2358820
Boston,42.3602534,-71.0582912,2367105
Charlotte,35.2270869,-80.8431268,2378426
Chicago,41.8755616,-87.6244212,2379574
Cleveland,41.5051613,-81.6934446,2381475
Colorado Springs,38.8339578,-104.8253485,2383489
Columbus,39.9622601,-83.0007065,2383660
Dallas,32.7762719,-96.7968559,2388929
Denver,39.7392364,-104.9848623,2391279
Detroit,42.3315509,-83.0466403,2391585
El Paso,31.7600372,-106.487287,2397816
Fort Worth,32.753177,-97.3327459,2388929
Fresno,36.7295295,-119.708861260756,2407517
Houston,29.7589382,-95.3676974,2424766
Indianapolis,39.7683331,-86.1583502,2427032
Jacksonville,30.3321838,-81.655651,2428344
Kansas City,39.100105,-94.5781416,2430683
Las Vegas,36.1662859,-115.149225,2436704
Long Beach,33.78538945,-118.158049315311,2441472
Los Angeles,34.0536834,-118.2427669,2442047
Louisville-Jefferson County,38.209237,-85.7038502,2442327
Memphis,35.1490215,-90.0516285,2449323
Mesa,33.4153143,-111.8312641,2449808
Miami,25.7742658,-80.1936589,2450022
Milwaukee,43.0349931,-87.922497,2451822
Minneapolis,44.9772995,-93.2654692,2452078
Nashville-Davidson,36.1622296,-86.7743531,2457170
New Orleans,29.9499323,-90.0701156,2458833
New York,40.7308619,-73.9871558,2459115
Oakland,37.8044557,-122.2713563,2487956
Oklahoma City,35.4729886,-97.5170536,2464592
Omaha,41.2587317,-95.9378732,2465512
Philadelphia,39.9524152,-75.1635755,2471217
Phoenix,33.4485866,-112.0773456,2471390
Portland,45.5202471,-122.6741949,2475687
Raleigh,35.7803977,-78.6390989,2478307
Sacramento,38.5815719,-121.4943996,2486340
San Antonio,29.4246002,-98.4951405,2487796
San Diego,32.7174209,-117.1627714,2487889
San Francisco,37.7792808,-122.4192363,2487956
San Jose,37.3361905,-121.8905833,2488042
Seattle,47.6038321,-122.3300624,2490383
Tucson,32.2218917,-110.9262353,2508428
Tulsa,36.1556805,-95.9929113,23424977
Virginia Beach,36.8529841,-75.9774183,2512636
Washington,38.8950092,-77.0365625,2514815
Wichita,37.6922361,-97.3375448,23424977
